addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
충청남도 예산군 덕산면 온천단지2로 77,,34,B02,B0201,B02011300,3446629,32,20241216174259,http://tong.visitkorea.or.kr/cms/resource/22/3459522_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3459522_image3_1.jpg,Type3,126.6621238755,36.6888002118,6,20251126134729,11,,스파뷰호텔,32406,44,810,AC,AC02,AC020200
경상북도 경주시 엑스포로 45 (신평동),,35,B02,B0201,B02010100,3401777,32,20241030151615,,,,129.2909580639,35.8370478188,6,20251121155251,2,,더케이호텔경주,38116,47,130,AC,AC01,AC010100
경상북도 경주시 보문로 280-12 (북군동),,35,B02,B0201,B02010100,3354917,32,20240827181952,http://tong.visitkorea.or.kr/cms/resource/10/3354910_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3354910_image3_1.jpg,Type3,129.2774337692,35.8538484443,6,20251118170649,2,,키녹,38117,47,130,AC,AC01,AC010100
인천광역시 연수구 컨벤시아대로 165,,2,B02,B0201,B02010500,2007951,32,20150605021104,http://tong.visitkorea.or.kr/cms/resource/37/2720037_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2720037_image3_1.jpg,Type3,126.6444564277,37.3891939097,6,20251117155346,8,,오크우드 프리미어 인천,21998,28,185,AC,AC02,AC020100
강원특별자치도 양양군 손양면 선사유적로 678,,32,B02,B0201,B02010100,590440,32,20080719013445,http://tong.visitkorea.or.kr/cms/resource/71/2746771_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2746771_image3_1.jpg,Type3,128.6656244202,38.0870503017,6,20251114103806,7,1588-4888,쏠비치 양양,25042,51,830,AC,AC01,AC010100
강원특별자치도 양양군 강현면 복골길201번길 58,,32,B02,B0201,B02010700,979536,32,20100318230850,,,,128.5654068117,38.1416308966,6,20251114103454,7,010-4369-4008,복골온천펜션,25005,51,830,AC,AC03,AC030100
강원특별자치도 평창군 대관령면 오목길 107,,32,B02,B0201,B02010100,2757631,32,20211015192735,http://tong.visitkorea.or.kr/cms/resource/65/2762765_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2762765_image3_1.jpg,Type3,128.7179634388,37.6595036538,6,20251107152032,15,033-333-1000,라마다호텔&스위트평창,25342,51,760,AC,AC01,AC010100
강원특별자치도 평창군 방림면 감동지길 100,,32,B02,B0201,B02010700,2801593,32,20211218011545,http://tong.visitkorea.or.kr/cms/resource/92/2801592_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2801592_image3_1.jpg,Type3,128.2729367936,37.4781855533,6,20251107142719,15,,도그밀리(DOGMILY),25364,51,760,AC,AC03,AC030100
강원특별자치도 평창군 대관령면 솔봉로 325,,32,B02,B0201,B02010500,951444,32,20100218195536,http://tong.visitkorea.or.kr/cms/resource/56/2921356_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2921356_image3_1.jpg,Type3,128.6685317384,37.6609136479,6,20251107103554,15,033-339-1240,홀리데이인&스위트 알펜시아 평창,25351,51,760,AC,AC02,AC020100
강원특별자치도 홍천군 서면 한치골길 75-12,,32,B02,B0201,B02010700,139183,32,20070914090000,http://tong.visitkorea.or.kr/cms/resource/31/2920031_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2920031_image3_1.jpg,Type3,127.6671927372,37.6276930258,6,20251107102703,16,,신영펜션,25103,51,720,AC,AC03,AC030100
